name,online_order,book_table,rate,sentiment,votes,location,rest_type,cuisines_cleaned,approx_cost(for two people),listed_in(type),online_order_label,book_table_label
Kulfisthan,1,0,3.4,Good,5,22,40,Ice Cream,150.0,2,Yes,No
Myrasoiya.com,1,0,3.4,Good,20,76,39,North Indian,350.0,2,Yes,No
Sip N Bite,0,0,3.3,Good,11,7,78,"Fast Food, North Indian, South Indian, Chinese",300.0,2,No,No
Sunny Cafe & Kitchen,1,1,3.8,Good,499,22,22,"Cafe, Continental, Beverages, Desserts",700.0,2,Yes,Yes
Smiley's Kitchen,1,0,3.7,Good,0,41,92,"North Indian, Fast Food",450.0,2,Yes,No
Bengaluru House,1,0,2.6,Bad,21,22,27,South Indian,700.0,2,Yes,No
Sufra Restaurant,1,1,3.7,Good,111,22,27,"North Indian, Chinese",800.0,2,Yes,Yes
Sri Gurudev Darshini,1,0,3.5,Good,13,22,78,South Indian,150.0,2,Yes,No
Delite Chaat House,1,0,3.4,Good,179,22,78,"Street Food, Gujarati",300.0,2,Yes,No
Punjab Di Shaan,1,0,3.0,Good,39,22,27,North Indian,450.0,2,Yes,No
JFD Cafe,1,0,2.8,Bad,37,22,19,Cafe,400.0,2,Yes,No
Lassi Pot,0,0,3.3,Good,7,22,14,Beverages,100.0,2,No,No
Cake Menu,1,0,3.2,Good,11,7,0,Bakery,400.0,2,Yes,No
Dessi Cuppa,1,0,3.7,Good,35,22,80,"Beverages, Fast Food",300.0,2,Yes,No
Cream Chemistry,1,0,3.9,Good,75,22,40,"Ice Cream, Desserts",500.0,2,Yes,No
Maa Di Hatti,1,0,2.8,Bad,137,41,78,North Indian,500.0,2,Yes,No
Mangala's Tea Time Cafe,1,0,2.8,Bad,0,41,78,"Tea, Fast Food",150.0,2,Yes,No
Wheat House,1,0,3.3,Good,11,22,78,"Kerala, South Indian, Fast Food",400.0,2,Yes,No
Sober Turtle,0,0,3.4,Good,39,44,78,"Street Food, Sandwich, Beverages",250.0,2,No,No
Second Wife Cafe,1,0,3.8,Good,61,22,78,"Arabian, North Indian",400.0,2,Yes,No
Lord of Combos,1,0,3.0,Good,27,22,39,North Indian,500.0,2,Yes,No
Delicious Demons,1,0,3.3,Good,26,41,39,Continental,400.0,2,Yes,No
Sree Bangalore Bhavan,1,0,3.7,Good,44,22,78,South Indian,400.0,2,Yes,No
Krishna Grand,1,0,3.2,Good,42,22,78,South Indian,200.0,2,Yes,No
Cake Delights,1,0,3.6,Good,24,76,0,"Bakery, Desserts",500.0,2,Yes,No
Tasty Noodle,1,0,3.4,Good,5,22,78,"Chinese, Seafood",400.0,2,Yes,No
Lassi Plaza,1,0,1.0,Bad,0,22,78,"Desserts, Beverages",100.0,2,Yes,No
Supreme Biryani,1,0,1.2,Bad,0,40,39,Biryani,400.0,2,Yes,No
Gruhalakshmi Home Foods,1,0,3.7,Good,0,7,88,Mithai,250.0,2,Yes,No
The Twenty Handmade Chocolates,1,0,3.8,Good,30,22,38,Desserts,300.0,2,Yes,No
Howlin Wolf,1,0,4.1,Excellent,93,22,27,"Italian, Mediterranean, European, Sandwich",700.0,2,Yes,No
The Belgian Waffle Co.,1,0,4.1,Excellent,129,22,40,"Desserts, Beverages",350.0,2,Yes,No
Bakingo,1,0,4.0,Excellent,75,41,0,"Bakery, Desserts",500.0,2,Yes,No
T.A.K - That Affordable Kitchen,1,0,3.2,Good,4,22,92,"Continental, North Indian",400.0,2,Yes,No
The Salad Studio,1,0,4.0,Excellent,108,6,19,"Cafe, Healthy Food, Salad",400.0,2,Yes,No
Fine Dine Restaurant,1,0,3.7,Good,56,22,27,"North Indian, Kerala, Chinese",750.0,2,Yes,No
Biryani Mandra,1,0,3.8,Good,70,41,92,"Seafood, Salad, North Indian, Biryani, Chinese",500.0,2,Yes,No
Brownie Points,1,0,3.8,Good,25,44,0,"Bakery, Desserts",300.0,2,Yes,No
Malabar Treat,1,0,3.4,Good,6,41,78,"North Indian, Arabian, South Indian, Chinese",500.0,2,Yes,No
New Cool Joint,1,0,3.5,Good,23,76,78,"Fast Food, Beverages, Ice Cream, Juices, Sandwich",150.0,2,Yes,No
Manshi Paratha & Pav Bhaji,1,0,3.2,Good,6,22,92,"North Indian, Fast Food",150.0,2,Yes,No
Pizza Stop,1,0,3.2,Good,44,76,78,"Pizza, Italian",600.0,2,Yes,No
Mr. Meetharam,1,0,2.8,Bad,75,22,78,"Mithai, Street Food",150.0,2,Yes,No
The Open Cafe,1,0,3.7,Good,15,22,19,"Cafe, Chinese, Continental",500.0,2,Yes,No
Mango Tree Grand,1,0,3.8,Good,112,6,78,"Andhra, North Indian",700.0,2,Yes,No
Asia In A Box,1,0,3.1,Good,9,6,27,"Thai, Asian",550.0,2,Yes,No
Fusion Tadka,1,0,3.7,Good,34,6,39,"North Indian, Chinese, Rajasthani",450.0,2,Yes,No
Yahiya Restaurant,0,0,3.7,Good,0,56,27,"North Indian, Chinese",400.0,2,No,No
Lassi Shop,1,0,3.5,Good,9,76,14,"Beverages, Juices, Ice Cream, Sandwich",200.0,2,Yes,No
#L-81 Cafe,1,0,3.9,Good,48,22,78,"Fast Food, Beverages",400.0,2,Yes,No
Bellandur Kitchen,1,0,3.4,Good,17,6,78,"North Indian, Chinese",400.0,2,Yes,No
Garage Food Company,1,0,3.8,Good,43,22,78,"Chinese, Momos",300.0,2,Yes,No
Sri Ganesh Juice Junction,1,0,3.5,Good,5,6,14,"Juices, Fast Food",200.0,2,Yes,No
The Rice Company,0,0,3.7,Good,0,44,39,"North Indian, Biryani",600.0,2,No,No
Subham Pal Kitchen,1,0,3.3,Good,10,41,78,"North Indian, Chinese",300.0,2,Yes,No
Court Cafe,0,0,3.7,Good,0,76,78,"Fast Food, Beverages",300.0,2,No,No
Lazeez Corner,1,0,3.1,Good,7,22,78,"North Indian, Mughlai, Chinese",500.0,2,Yes,No
Soup Station,1,0,3.9,Good,38,44,78,"Healthy Food, Sandwich, Salad",200.0,2,Yes,No
The Milkshake Theory,1,0,3.7,Good,29,76,14,"Beverages, Fast Food",400.0,2,Yes,No
Appetite Workstation,1,0,3.6,Good,16,76,78,"North Indian, Chinese, Biryani",500.0,2,Yes,No
Khan Saab Hotel,1,0,3.1,Good,16,7,78,"North Indian, Biryani, Chinese",300.0,2,Yes,No
Foodzoo,1,0,3.7,Good,122,22,78,"North Indian, Chinese, Street Food",300.0,2,Yes,No
Manashi Paratha & Pav Bhaji,1,0,5.0,Excellent,0,22,78,"Fast Food, North Indian",200.0,2,Yes,No
Slurpy Shakes,1,0,5.0,Excellent,0,22,39,Beverages,300.0,2,Yes,No
Desi Chopstick,1,0,3.8,Good,37,22,78,North Indian,400.0,2,Yes,No
Eat N Drinks,1,0,3.4,Good,7,6,78,"Kerala, Beverages",150.0,2,Yes,No
Tanu Di's Kitchen,1,0,5.0,Excellent,0,41,78,"North Indian, South Indian, Bengali",350.0,2,Yes,No
Punjabi Chulha,1,0,3.8,Good,38,41,27,North Indian,400.0,2,Yes,No
The Humble Pie,1,0,3.9,Good,34,22,3,"Desserts, Bakery",200.0,2,Yes,No
House Of Wholewheat,1,0,3.1,Good,6,41,0,"Bakery, Desserts",200.0,2,Yes,No
The Food Factory,0,0,2.7,Bad,42,22,78,"North Indian, Chinese",450.0,2,No,No
Gulp The Pulp,1,0,3.7,Good,19,44,39,"Beverages, Juices, Healthy Food",200.0,2,Yes,No
Jagan's Hotel,0,0,3.7,Good,0,22,78,"South Indian, North Indian",200.0,2,No,No
Lazeez,1,0,2.4,Bad,318,41,27,"North Indian, Mughlai, Biryani",600.0,2,Yes,No
The Rendezvous,1,0,3.7,Good,483,44,27,"Continental, Steak, Chinese, Salad, Desserts, Seafood, Italian",800.0,2,Yes,No
Kabab Magic,1,0,2.9,Bad,317,76,78,"North Indian, Kebab, Fast Food",500.0,2,Yes,No
Swathi Spice n Ice,1,0,3.5,Good,165,22,27,"Andhra, North Indian, Chinese",700.0,2,Yes,No
Aaranya Restaurant,1,0,3.4,Good,212,22,27,"North Indian, Chinese, Mughlai",800.0,2,Yes,No
Southinn,1,0,3.8,Good,190,22,78,"South Indian, Fast Food, Chinese, North Indian, Street Food",250.0,2,Yes,No
Sri Vasavi Restaurant,1,0,3.6,Good,30,6,78,"Chinese, Biryani",250.0,2,Yes,No
Butter Side Up,1,0,4.1,Excellent,111,6,40,"Desserts, Bakery",600.0,2,Yes,No
Cream Stone,1,0,4.2,Excellent,1022,22,40,"Desserts, Beverages",500.0,2,Yes,No
Punjabi Times,1,1,4.1,Excellent,1694,6,28,North Indian,1100.0,2,Yes,Yes
Melange - Hotel Ekaa,1,1,3.2,Good,426,19,27,"North Indian, Chinese, Continental, Mangalorean",900.0,2,Yes,Yes
Abbabi Chicken,1,0,3.8,Good,133,6,78,Fast Food,200.0,2,Yes,No
Mishmash,1,0,3.9,Good,1245,22,28,"Mediterranean, Continental, North Indian, Mughlai, Salad",1400.0,2,Yes,No
Raichur Biryani House,1,0,3.8,Good,283,22,78,"Biryani, North Indian, Chinese",400.0,2,Yes,No
Punjabi Tadka,1,0,2.8,Bad,188,22,27,"North Indian, Chinese",400.0,2,Yes,No
Juice Junction Food Court,1,0,3.8,Good,211,22,78,"Juices, South Indian, Chinese, Fast Food",200.0,2,Yes,No
Dragon's Kitchen,1,0,3.1,Good,248,22,27,Chinese,500.0,2,Yes,No
Zayakedar,1,0,4.0,Excellent,251,6,78,North Indian,250.0,2,Yes,No
Pingara,1,0,3.8,Good,93,41,27,"North Indian, Chinese, Mangalorean",550.0,2,Yes,No
Sichuan,1,0,4.0,Excellent,492,22,27,"Chinese, Asian, Seafood",800.0,2,Yes,No
Lucknowiz,1,0,3.5,Good,323,41,78,"Lucknowi, Chinese",500.0,2,Yes,No
Kabab Mandra,1,0,2.9,Bad,243,76,78,"North Indian, Chinese, Rolls",300.0,2,Yes,No
Dande's Hyderabad Biryani,1,0,3.0,Good,255,7,27,"Biryani, North Indian, Chinese",550.0,2,Yes,No
Gusto's Pizza,1,0,3.0,Good,289,6,27,"Pizza, Italian",500.0,2,Yes,No
Families Food Court,1,0,3.9,Good,261,22,78,"North Indian, Chinese, Biryani, Rolls",400.0,2,Yes,No
Tasty Treat,1,0,3.1,Good,131,22,78,"North Indian, Chinese, Biryani, Rolls",400.0,2,Yes,No
Oogway express,1,0,3.4,Good,9,22,27,"Chinese, Thai, Momos",600.0,2,Yes,No
Hotel Tadaka House,0,0,3.4,Good,7,7,78,"North Indian, Chinese, Biryani",300.0,2,No,No
Half & Half Food Box,1,0,3.1,Good,14,6,78,"North Indian, Chinese, Biryani",500.0,2,Yes,No
Dabba Karkhana,1,0,3.5,Good,17,0,92,North Indian,300.0,2,Yes,No
Samosa Express,1,0,3.6,Good,23,22,78,Street Food,150.0,2,Yes,No
Azimmo Treat,1,0,3.8,Good,41,22,27,"North Indian, Chinese",700.0,2,Yes,No
Grow Fit,1,0,3.8,Good,36,22,39,"Healthy Food, North Indian, Thai",500.0,2,Yes,No
Stark Bistro,1,1,3.6,Good,30,22,27,"Continental, North Indian, Chinese, Burger, Pizza, Salad",850.0,2,Yes,Yes
Sethi's,1,0,3.7,Good,0,22,39,"North Indian, Chinese, BBQ",600.0,2,Yes,No
Food Singh,1,0,3.7,Good,0,22,39,North Indian,500.0,2,Yes,No
New Punjabi Pure Veg Restaurant,1,0,3.5,Good,10,22,78,North Indian,300.0,2,Yes,No
Biryani Darbar,1,0,3.3,Good,12,19,27,"Biryani, Chinese",600.0,2,Yes,No
Godavari Delights,1,0,3.0,Good,11,19,27,South Indian,400.0,2,Yes,No
Meal & Biryani,1,0,3.6,Good,20,7,78,"Andhra, South Indian",450.0,2,Yes,No
Sri Udupi Park,1,0,4.0,Excellent,64,22,27,"South Indian, North Indian, Chinese, Beverages",300.0,2,Yes,No
Paratha Darbar,1,0,3.5,Good,14,41,78,North Indian,400.0,2,Yes,No
Calvin's,1,0,3.8,Good,22,22,46,Desserts,800.0,2,Yes,No
Yang Ming,1,0,3.7,Good,0,22,78,Chinese,400.0,2,Yes,No
Lassi Magic,1,0,1.0,Bad,0,22,14,"Beverages, Ice Cream",200.0,2,Yes,No
Moriz Restaurant,1,0,2.6,Bad,76,6,27,"Arabian, North Indian, Seafood, Chinese, Biryani",800.0,2,Yes,No
Delhi Food Factory,1,0,3.7,Good,0,22,39,North Indian,500.0,2,Yes,No
Ministry of Burger,1,0,1.0,Bad,0,22,39,Continental,500.0,2,Yes,No
Desi Chulha,1,0,3.7,Good,19,76,78,North Indian,250.0,2,Yes,No
Wat-a-Biryani,1,0,4.0,Excellent,0,22,39,Biryani,500.0,2,Yes,No
Ustaad Biryani,1,0,3.2,Good,5,22,39,Biryani,500.0,2,Yes,No
Chination,0,0,3.7,Good,0,22,39,Chinese,600.0,2,No,No
KafeKombos,1,0,3.5,Good,16,22,92,"North Indian, South Indian, Oriya",300.0,2,Yes,No
Xpress Dhaba,1,0,1.0,Bad,0,41,78,North Indian,400.0,2,Yes,No
Parathe Ghar Ke,1,0,3.2,Good,4,6,78,North Indian,300.0,2,Yes,No
Sri Vishnu Grand & Garden Restaurant,1,0,3.8,Good,8,76,78,"South Indian, North Indian, Fast Food",500.0,2,Yes,No
Bajji House,1,0,3.5,Good,7,22,78,Street Food,100.0,2,Yes,No
FreshBakes,1,0,3.7,Good,0,41,92,"Bakery, Desserts",350.0,2,Yes,No
The Modak,1,0,3.6,Good,19,6,78,"North Indian, Street Food, Desserts, Chinese",400.0,2,Yes,No
Wings Mama,1,0,3.7,Good,0,22,92,"American, Fast Food",300.0,2,Yes,No
Lucky's Biriyani Point,1,0,3.4,Good,9,22,92,"Biryani, South Indian, North Indian, Fast Food",400.0,2,Yes,No
Midnight Joe's,1,0,3.7,Good,0,22,92,"Burger, Fast Food, Finger Food",300.0,2,Yes,No
Masale Daan,1,0,3.3,Good,5,41,39,North Indian,350.0,2,Yes,No
Anika's India Kitchen,1,0,3.3,Good,5,22,39,"Biryani, North Indian",250.0,2,Yes,No
Abhiruchi Moonlight,1,0,3.3,Good,4,7,92,North Indian,300.0,2,Yes,No
Bottle Genie,1,0,3.7,Good,0,22,14,Beverages,350.0,2,Yes,No
Karachi Bakery,1,0,3.7,Good,16,76,0,"Bakery, Desserts",400.0,2,Yes,No
Wok And Rolls,1,0,3.7,Good,0,41,78,"Chinese, Thai",300.0,2,Yes,No
Chef Genie,1,0,3.7,Good,0,22,39,"Biryani, Fast Food",500.0,2,Yes,No
Ajwa Thalassery Biryani,1,1,3.9,Good,43,76,78,"Biryani, South Indian",500.0,2,Yes,Yes
Punjabi Chulla,1,0,3.3,Good,10,6,39,North Indian,300.0,2,Yes,No
The Fiery Indian Kitchen,1,0,3.7,Good,0,19,27,North Indian,650.0,2,Yes,No
Hottey Smokey,1,0,1.0,Bad,0,22,78,"Asian, Salad, Italian",400.0,2,Yes,No
The Duke of Juices,1,0,2.8,Bad,5,22,78,"Juices, Beverages, Salad",200.0,2,Yes,No
AutoExpress - Hot Dogs,1,0,3.3,Good,5,22,78,Fast Food,300.0,2,Yes,No
Nutri Fit,1,0,3.4,Good,5,22,92,Healthy Food,300.0,2,Yes,No
Indian Desi Momo,1,0,3.7,Good,0,7,91,Momos,200.0,2,Yes,No
Mr. Cane,1,0,3.7,Good,0,7,14,Juices,100.0,2,Yes,No
New Kabab Zone,1,0,3.4,Good,13,7,27,"North Indian, Fast Food",500.0,2,Yes,No
Loukya Veg Restaurant,0,0,3.7,Good,0,7,78,"North Indian, South Indian, Chinese",300.0,2,No,No
Gourmet Food Truck,1,0,3.8,Good,17,80,58,Chinese,200.0,2,Yes,No
Cafe Talkhouse,0,0,3.8,Good,23,22,78,North Indian,400.0,2,No,No
Shree Mahalakshmi Sweets,1,0,3.3,Good,10,22,88,"Mithai, Street Food",100.0,2,Yes,No
Orchard Fresh,1,0,4.0,Excellent,0,76,40,Ice Cream,150.0,2,Yes,No
Pavan Tiffin Center,1,0,3.3,Good,8,22,78,South Indian,300.0,2,Yes,No
The Kitchen,1,0,3.6,Good,9,41,78,North Indian,300.0,2,Yes,No
New Andhra Spicy,1,0,3.6,Good,11,6,78,"North Indian, Chinese, Andhra, South Indian, Biryani",200.0,2,Yes,No
Masale Daan,1,0,3.7,Good,0,22,92,North Indian,350.0,2,Yes,No
Yo! Thali,1,0,3.5,Good,4,22,78,"North Indian, South Indian, Chinese",400.0,2,Yes,No
Zodiac Grills,1,0,3.2,Good,4,22,78,"North Indian, Chinese",500.0,2,Yes,No
Ultra Biriyani Paradise,1,0,3.2,Good,4,76,78,Biryani,300.0,2,Yes,No
Aao G Khao G,1,0,3.5,Good,11,22,78,"North Indian, Chinese",200.0,2,Yes,No
Nuty,1,0,3.7,Good,0,22,78,"North Indian, Biryani",300.0,2,Yes,No
Sri Ganesh Juice Junction,1,0,4.0,Excellent,0,6,78,"Fast Food, Juices",200.0,2,Yes,No
Bewiched,1,0,3.4,Good,10,22,78,"Fast Food, Sandwich, Burger",300.0,2,Yes,No
Public Cafe,0,0,3.7,Good,0,22,39,Continental,700.0,2,No,No
Lost in Pizza,1,0,3.1,Good,4,22,91,"Pizza, Fast Food",600.0,2,Yes,No
Cheesy Juicy Burgers,1,0,3.8,Good,18,22,78,"Burger, Fast Food",500.0,2,Yes,No
Kakatiya's,1,0,3.1,Good,6,22,78,"South Indian, Biryani",250.0,2,Yes,No
Sri Vishnu Garden Family Bar & Restaurant,1,0,3.7,Good,0,76,10,"North Indian, South Indian, Chinese, Hyderabadi",700.0,2,Yes,No
Lassi & More,1,0,5.0,Excellent,0,22,14,Juices,150.0,2,Yes,No
Hello Brother Hotel,0,0,3.4,Good,6,22,78,"North Indian, Chinese",300.0,2,No,No
Dilli6 Paratha,1,0,3.0,Good,4,22,92,"North Indian, Chinese",200.0,2,Yes,No
Charcoal Eats,1,0,4.0,Excellent,54,22,78,"Mughlai, Biryani, Fast Food",500.0,2,Yes,No
Cake Fantasy,1,0,3.7,Good,0,44,41,"Desserts, Bakery",300.0,2,Yes,No
Make It Roll,1,0,3.8,Good,33,22,78,"Rolls, Salad, Sandwich",400.0,2,Yes,No
Classic Biryani Hut,1,0,3.4,Good,10,22,78,"Biryani, Fast Food",300.0,2,Yes,No
Hangouts @ Kashish Caterers,1,0,3.4,Good,10,22,39,"Biryani, Kebab",400.0,2,Yes,No
Aata's Kitchen,1,0,4.7,Excellent,0,41,78,"South Indian, North Indian",250.0,2,Yes,No
The Shawarma Shop,0,0,3.7,Good,0,44,78,Arabian,250.0,2,No,No
Biryani Rooh-e-Khaas,1,0,4.5,Excellent,0,22,39,"Biryani, Mughlai",500.0,2,Yes,No
Punjabi Unplugged,1,0,3.7,Good,0,41,78,North Indian,500.0,2,Yes,No
Akshaya Bar And Restaurant,1,0,3.7,Good,0,41,28,"North Indian, South Indian, Chinese, Fast Food",600.0,2,Yes,No
YUNCHI,1,0,3.7,Good,0,22,78,North Indian,300.0,2,Yes,No
Xung Fu,1,0,1.0,Bad,0,6,78,"Asian, Chinese",350.0,2,Yes,No
Artinci Artisanal Ice Cream,1,0,3.5,Good,7,22,40,"Ice Cream, Desserts",300.0,2,Yes,No
Tanoor Tandoori,1,0,3.7,Good,0,6,39,"North Indian, Mughlai, Chinese, Kebab, Biryani",550.0,2,Yes,No
Artinci Artisanal Ice Cream,1,0,3.7,Good,0,6,40,"Ice Cream, Desserts",300.0,2,Yes,No
Waffle In The Box,1,0,4.0,Excellent,0,22,40,Desserts,300.0,2,Yes,No
Chai Point,1,0,3.7,Good,0,25,17,"Tea, Beverages, Fast Food",250.0,2,Yes,No
Harilal ka Bihari Dhaba,1,0,3.7,Good,0,41,48,"North Indian, Bihari",250.0,2,Yes,No
Homelicious Food,1,0,5.0,Excellent,0,6,78,North Indian,200.0,2,Yes,No
Frosty Fills,1,0,3.0,Good,0,6,78,"Desserts, Ice Cream",250.0,2,Yes,No
Wimpie Cafe & Restaurant,1,0,5.0,Excellent,0,6,27,"North Indian, Mughlai, Biryani",600.0,2,Yes,No
Shake The Shake,1,0,3.7,Good,0,22,14,Juices,200.0,2,Yes,No
Udupi Savi Thindi,1,0,3.5,Good,15,76,92,"South Indian, North Indian, Chinese",300.0,2,Yes,No
Matka,1,1,3.5,Good,27,22,27,"North Indian, Biryani",700.0,2,Yes,Yes
Sharma's Malai & Masala,1,0,4.0,Excellent,457,41,27,North Indian,550.0,2,Yes,No
Bonfooder,1,0,3.9,Good,36,76,39,North Indian,400.0,2,Yes,No
Kadavu Shappu Currys,1,0,3.3,Good,50,22,78,Kerala,400.0,2,Yes,No
New Gongura Grand,1,0,3.9,Good,368,22,27,"Andhra, Biryani, North Indian, Chinese",550.0,2,Yes,No
Thalassery Restaurant,1,0,3.5,Good,694,6,27,"Seafood, Biryani, South Indian, North Indian, Chinese, Arabian, Kebab, Kerala",600.0,2,Yes,No
Melting Melodies,1,0,3.7,Good,0,41,0,"Bakery, Desserts",600.0,2,Yes,No
Tarbouche,1,0,5.0,Excellent,0,22,59,"Turkish, Rolls",300.0,2,Yes,No
WOW! Momo,1,0,1.0,Bad,0,22,53,"Tibetan, Momos",400.0,2,Yes,No
A2B - Adyar Ananda Bhavan,1,0,2.8,Bad,484,22,27,"South Indian, North Indian, Chinese, Street Food, Fast Food",400.0,2,Yes,No
The Beer Cafe,1,1,4.2,Excellent,1170,44,73,"Finger Food, Chinese, Italian, Burger",1300.0,2,Yes,Yes
Sri Krishna Sagar,1,0,3.5,Good,234,22,78,"South Indian, North Indian, Chinese, Street Food, Juices",400.0,2,Yes,No
Tea Trails,1,0,4.0,Excellent,0,22,27,"North Indian, Tea, Fast Food",600.0,2,Yes,No
Navya Foods,1,0,3.4,Good,7,22,78,"North Indian, Fast Food",300.0,2,Yes,No
Bonum cibum,1,0,4.5,Excellent,196,22,27,"Lebanese, Turkish",1200.0,2,Yes,No
Tetto,1,0,3.7,Good,130,41,28,Continental,1200.0,2,Yes,No
Under The Hood,1,0,4.0,Excellent,76,41,78,"Salad, Healthy Food, Street Food",300.0,2,Yes,No
Madurai Veg Kitchen,1,0,2.0,Bad,0,6,92,"North Indian, Chinese, South Indian",200.0,2,Yes,No
Birinz,1,0,4.2,Excellent,78,22,27,"Biryani, Kebab, Fast Food",400.0,2,Yes,No
Take EAT Easy,1,0,3.6,Good,20,76,92,North Indian,200.0,2,Yes,No
Feastaurant,1,0,3.7,Good,27,22,27,"Bengali, Chinese",800.0,2,Yes,No
Khaja Military Hotel,1,0,3.7,Good,0,22,78,"Biryani, Fast Food, South Indian",400.0,2,Yes,No
MAP- My Appetite Place,1,0,3.8,Good,29,22,92,"North Indian, Italian, Chinese",600.0,2,Yes,No
Snakk That,1,0,3.9,Good,54,22,80,"Burger, Beverages, Fast Food",250.0,2,Yes,No
Bistro Claytopia,1,1,4.1,Excellent,1847,41,19,"Cafe, American, Italian, Burger",600.0,2,Yes,Yes
The Waffle Street,1,0,3.9,Good,46,22,82,"Continental, Beverages, Burger, Coffee, Desserts",300.0,2,Yes,No
The Spice Factory,1,0,3.1,Good,29,22,27,"North Indian, Mughlai, Chinese",550.0,2,Yes,No
Mustard Cafe,1,0,4.1,Excellent,888,43,19,"Cafe, Continental, Burger, Salad, Healthy Food, Italian",800.0,2,Yes,No
Grigliato,1,0,3.9,Good,716,22,27,"Italian, Chinese, Continental, Steak",1000.0,2,Yes,No
Mighty Paws,1,0,4.0,Excellent,136,76,19,Cafe,500.0,2,Yes,No
Baithak,0,0,4.2,Excellent,1383,22,28,"Continental, North Indian, Mughlai",1100.0,2,No,No
Pulp Juice Bar,1,0,3.6,Good,16,22,14,"Beverages, Juices, Ice Cream",150.0,2,Yes,No
Chaat Street,1,0,3.8,Good,192,22,78,"Street Food, North Indian",250.0,2,Yes,No
Grapevine,1,1,4.1,Excellent,733,22,19,"Cafe, Continental, Italian, Beverages, Mediterranean",1200.0,2,Yes,Yes
Krispy Kreme,1,0,3.9,Good,150,22,40,"Desserts, Beverages",300.0,2,Yes,No
Pasta Street,1,1,4.5,Excellent,247,44,27,"Italian, Pizza, Salad",1300.0,2,Yes,Yes
The Chocolate Room,1,0,3.9,Good,205,22,20,"Cafe, Bakery, Fast Food, Desserts",600.0,2,Yes,No
Mimansa @ Foxtrot,1,1,4.4,Excellent,190,43,19,Cafe,1000.0,2,Yes,Yes
Bangalore Cafe,1,0,3.7,Good,197,22,78,"South Indian, Fast Food",400.0,2,Yes,No
Swathi Restaurant,1,0,2.0,Bad,0,22,92,"Andhra, North Indian, Chinese",400.0,2,Yes,No
Wow Kitchen Punjabi Taste,1,0,5.0,Excellent,0,76,78,North Indian,200.0,2,Yes,No
Leon Grill,1,0,4.3,Excellent,1099,22,78,"Turkish, Arabian, Fast Food, Desserts, Healthy Food, Salad",450.0,2,Yes,No
Waffle Stories,1,0,5.0,Excellent,0,22,40,"Desserts, Beverages",300.0,2,Yes,No
Maia - Eat | Bake | Mom,1,1,4.2,Excellent,1004,6,27,"Continental, North Indian, Beverages",1200.0,2,Yes,Yes
Rusbury Fresh Sweets And Savouries,1,0,3.9,Good,70,22,88,"Mithai, Street Food",200.0,2,Yes,No
Andhra Paris,1,0,3.2,Good,5,76,78,Andhra,250.0,2,Yes,No
Bangaliana,1,0,3.7,Good,310,22,27,Bengali,600.0,2,Yes,No
Balle-Licious Kitchen,1,0,3.9,Good,170,22,39,North Indian,400.0,2,Yes,No
Sector 7 CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,1,0,4.3,Excellent,1101,22,19,"Cafe, Continental, Pizza, Salad",700.0,2,Yes,No
The Egg Factory,1,0,4.0,Excellent,136,22,27,"Continental, American",750.0,2,Yes,No
The Rasoiya Street,1,1,4.1,Excellent,1324,22,27,"North Indian, Continental, Mediterranean, Chinese",800.0,2,Yes,Yes
The Meal Story,1,0,4.2,Excellent,258,76,27,"North Indian, Street Food",700.0,2,Yes,No
Manchow,1,1,3.8,Good,157,6,27,"Chinese, Asian, Momos",600.0,2,Yes,Yes
The Yogisthaan Cafe,1,0,4.1,Excellent,60,42,19,"Cafe, Healthy Food, Salad, Beverages",600.0,2,Yes,No
Mumbai Tiffin,1,0,4.4,Excellent,1288,22,78,North Indian,400.0,2,Yes,No
Purnabramha Maharashtrian Restaurant,1,0,3.7,Good,829,22,27,Maharashtrian,850.0,2,Yes,No
My Tea House,1,1,4.0,Excellent,0,1,27,"Continental, Asian",800.0,2,Yes,Yes
Habibi Falafel,1,0,4.3,Excellent,219,41,78,"Lebanese, Middle Eastern",300.0,2,Yes,No
Seven Ate Nine,1,1,4.3,Excellent,0,22,27,"North Indian, Steak, South Indian",700.0,2,Yes,Yes
Zee5 Loft,1,0,4.4,Excellent,792,22,19,"Cafe, Burger, Pizza, Sandwich",700.0,2,Yes,No
Hanoi - Vietnamese Cuisine,1,1,4.4,Excellent,1799,44,27,Vietnamese,1000.0,2,Yes,Yes
SGS Non Veg - Gundu Pulav,1,0,3.7,Good,9,22,92,South Indian,300.0,2,Yes,No
The Waffles Hut,1,0,4.1,Excellent,163,22,40,Desserts,400.0,2,Yes,No
Pazzo,1,0,4.3,Excellent,372,22,27,"American, Modern Indian, Italian, South Indian",700.0,2,Yes,No
Momos Corner,0,0,3.1,Good,15,7,78,"Chinese, Rolls, Momos",250.0,2,No,No
Donne Biriyani House,1,0,3.2,Good,73,22,78,"Biryani, South Indian",400.0,2,Yes,No
Mirch,1,0,3.7,Good,94,22,78,"North Indian, Biryani",400.0,2,Yes,No
Mak n Vak - Fyn,1,0,3.9,Good,337,22,78,"North Indian, Chinese",500.0,2,Yes,No
Bathinda Junction,1,1,4.0,Excellent,535,22,27,North Indian,600.0,2,Yes,Yes
The Vape,1,0,4.0,Excellent,603,22,27,"Asian, Beverages",800.0,2,Yes,No
